Action,Campaign,Negative keyword
Add,Window Repairs,"window replacement program"
Add,Window Repairs,"government window replacement program"
Add,Window Repairs,"for seniors"
Add,Window Repairs,"wooden"
Add,Window Repairs,"timber"
Add,Window Repairs,"fly screen"
Add,Window Repairs,"flyscreen"
Add,Window Repairs,"insect screen"
Add,Window Repairs,"mosquito screen"
Add,Window Repairs,"auckland"
Add,Window Repairs,"christchurch"
Add,Window Repairs,"hamilton"
Add,Window Repairs,"tauranga"
Add,Window Repairs,"dunedin"
Add,Window Repairs,"chch"
Add,Window Repairs,"upvc"
Add,Window Repairs,"new windows"
Add,Window Repairs,"window replacement near me"
Add,Window Repairs,"bathroom window replacement"
Add,Window Repairs,"cheap window replacement"
Add,Window Repairs,"how to fix broken window"
