Campaign,Negative keyword,Match type
Window Repairs,window replacement program,Phrase
Window Repairs,government window replacement program,Phrase
Window Repairs,for seniors,Phrase
Window Repairs,wooden,Phrase
Window Repairs,timber,Phrase
Window Repairs,fly screen,Phrase
Window Repairs,flyscreen,Phrase
Window Repairs,insect screen,Phrase
Window Repairs,mosquito screen,Phrase
Window Repairs,auckland,Phrase
Window Repairs,christchurch,Phrase
Window Repairs,hamilton,Phrase
Window Repairs,tauranga,Phrase
Window Repairs,dunedin,Phrase
Window Repairs,chch,Phrase
Window Repairs,upvc,Phrase
Window Repairs,new windows,Phrase
Window Repairs,window replacement near me,Phrase
Window Repairs,bathroom window replacement,Phrase
Window Repairs,cheap window replacement,Phrase
Window Repairs,how to fix broken window,Phrase
